Корневой ИД заявки,ИД версии заявки,Номер заявки,Дата создания заявки в формате Timezone,Дата начала действия версии заявки в формате Timezone,Признак инцидента,Корневой идентификатор категории дефекта,Код категории дефекта,Идентификатор дефекта,Признак дефекта возврата на доработку,"Наименование категории срочности: Аварийная, Обычная",Наименование округа,Код округа,Наименование района,Код района,Наименование статуса заявки,Идентификатор корневой версии вида выполненных работ,Идентификатор корневой версии охранных мероприятий,Результативность,Кол-во возвратов на доработку,Дата закрытия,Отзыв,Оценка качества выполнения работ,Код оценки качества выполнения ра
73407780,73407998,00000081/21,2021-01-01 01:12:34.155189+03,2021-01-01 01:44:28.834427+03,Нет,51,,1776,Нет,Обычная,ЮВАО,500,Марьино,509,Закрыта,15725,,Выполнено,,2021-01-01 01:44:28.834427+03,,,
73407781,73407965,00000082/21,2021-01-01 01:12:40.295683+03,2021-01-01 01:38:58.590862+03,Нет,51,,1771,Нет,Обычная,ЮВАО,500,Рязанский,513,Закрыта,15142,,Выполнено,,2021-01-01 01:38:58.590862+03,,,
73407785,73408186,00000083/21,2021-01-01 01:13:06.978319+03,2021-01-01 02:09:51.322497+03,Нет,1594,,2263,Да,Обычная,САО,200,Бескудниковский,203,Закрыта,15140,,Выполнено,,2021-01-01 02:09:51.322497+03,,,
73407791,73518672,00000084/21,2021-01-01 01:14:16.275392+03,2021-01-03 15:55:34.574198+03,Нет,50,,2283,Нет,Аварийная,ЦАО,100,Замоскворечье,103,Закрыта,"15269,15832",15102,Выполнено,,2021-01-01 15:51:04.979176+03,Работы не выполнены,Плохо,bad
73407794,73408326,00000085/21,2021-01-01 01:14:38.991176+03,2021-01-01 02:25:26.73023+03,Нет,56,,2261,Нет,Обычная,ВАО,400,Косино-Ухтомский,409,Закрыта,15803,,Выполнено,,2021-01-01 02:25:26.73023+03,,,
73407796,73407940,00000086/21,2021-01-01 01:14:45.018226+03,2021-01-01 01:35:51.415158+03,Нет,53,,2297,Нет,Обычная,ВАО,400,Соколиная Гора,417,Закрыта,18256,,Оказана консультация,,2021-01-01 01:35:51.415158+03,,,
73407806,73407819,00000087/21,2021-01-01 01:16:23.762+03,2021-01-01 01:18:50.566693+03,Нет,1597,,2393,Нет,Обычная,ВАО,400,Измайлово,408,Закрыта,18252,,Не выполнено по инициативе жителя,,2021-01-01 01:18:50.566693+03,,,
73407813,73408135,00000088/21,2021-01-01 01:17:20.872895+03,2021-01-01 02:03:45.905303+03,Нет,56,,2261,Нет,Обычная,СВАО,300,Северный,315,Закрыта,15803,,Выполнено,,2021-01-01 02:03:45.905303+03,,,
73407814,73514309,00000089/21,2021-01-01 01:17:40.153093+03,2021-01-03 14:55:18.232065+03,Нет,53,,2297,Нет,Обычная,ЗАО,800,Филевский Парк,818,Закрыта,18268,,Оказана консультация,,2021-01-01 02:37:51.542806+03,,,
73407817,73514308,00000090/21,2021-01-01 01:17:59.353576+03,2021-01-03 14:55:17.810099+03,Нет,59,,1822,Нет,Аварийная,СВАО,300,Марьина Роща,309,Закрыта,15605,15404,Выполнено,,2021-01-01 01:47:22.707056+03,Работы выполнены,Хорошо,good
73407825,73408139,00000091/21,2021-01-01 01:19:25.366141+03,2021-01-01 02:04:20.242438+03,Нет,1594,,4094,Нет,Аварийная,ЗАО,800,Фили-Давыдково,819,Закрыта,18259,18346,Не выполнено по инициативе УК/ОО,,2021-01-01 02:04:20.242438+03,,,
73407830,73408300,00000092/21,2021-01-01 01:20:12.90758+03,2021-01-01 02:21:52.993607+03,Нет,1595,,2232,Нет,Аварийная,ЮАО,600,Царицыно,618,Закрыта,18254,15378,Не выполнено по инициативе жителя,,2021-01-01 02:21:52.993607+03,,,
73407833,73407999,00000093/21,2021-01-01 01:20:42.654639+03,2021-01-01 01:44:53.837834+03,Нет,51,,1771,Нет,Обычная,САО,200,Хорошевский,217,Закрыта,15134,,Выполнено,,2021-01-01 01:44:53.837834+03,,,
73407838,73420964,00000094/21,2021-01-01 01:20:52.831561+03,2021-01-01 13:25:29.36306+03,Нет,1594,,2198,Нет,Обычная,СЗАО,900,Щукино,907,Закрыта,15444,,Выполнено,,2021-01-01 13:25:29.36306+03,,,
73407844,73408410,00000095/21,2021-01-01 01:22:14.584067+03,2021-01-01 02:38:31.918513+03,Нет,60,,1997,Да,Обычная,ЗАО,800,Можайский,809,Закрыта,15415,,Выполнено,,2021-01-01 02:38:31.918513+03,,,
73407846,73514306,00000096/21,2021-01-01 01:22:19.653618+03,2021-01-03 14:55:17.365038+03,Нет,53,,2388,Нет,Аварийная,ЗАО,800,Филевский Парк,818,Закрыта,15549,15378,Выполнено,,2021-01-01 02:06:17.356294+03,Работы выполнены,Хорошо,good
73407849,73407921,00000097/21,2021-01-01 01:22:54.531214+03,2021-01-01 01:33:45.232248+03,Нет,51,,1771,Нет,Обычная,ВАО,400,Косино-Ухтомский,409,Закрыта,15142,,Выполнено,,2021-01-01 01:33:45.232248+03,,,
73407853,73408041,00000098/21,2021-01-01 01:23:29.134187+03,2021-01-01 01:51:01.648887+03,Нет,51,,1771,Нет,Обычная,ЮВАО,500,Рязанский,513,Закрыта,15142,,Выполнено,,2021-01-01 01:51:01.648887+03,,,
73407856,73514305,00000099/21,2021-01-01 01:24:16.410312+03,2021-01-03 14:55:16.95243+03,Нет,1597,,2234,Нет,Обычная,СВАО,300,Останкинский,310,Закрыта,15213,,Выполнено,,2021-01-01 03:00:52.901815+03,,Удовлетворительно,neutral
73407866,73407878,00000100/21,2021-01-01 01:25:39.974312+03,2021-01-01 01:27:10.843767+03,Нет,1594,,2228,Нет,Обычная,СВАО,300,Алексеевский,301,Закрыта,18248,,Не выполнено по инициативе УК/ОО,,2021-01-01 01:27:10.843767+03,,,
73407868,73408492,00000101/21,2021-01-01 01:26:08.421494+03,2021-01-01 02:54:26.459161+03,Нет,51,,1771,Нет,Обычная,ЦАО,100,Мещанский,105,Закрыта,15142,,Выполнено,,2021-01-01 02:54:26.459161+03,,,
73407869,73407943,00000102/21,2021-01-01 01:26:10.724988+03,2021-01-01 01:35:56.984113+03,Нет,1595,,2209,Нет,Аварийная,СВАО,300,Бибирево,304,Закрыта,18255,,Не выполнено по инициативе жителя,,2021-01-01 01:35:56.984113+03,,,
73407879,73408734,00000103/21,2021-01-01 01:27:43.84889+03,2021-01-01 03:35:07.064782+03,Нет,1594,,2298,Нет,Обычная,ЮВАО,500,Марьино,509,Закрыта,18256,,Оказана консультация,,2021-01-01 03:35:07.064782+03,,,
